"Building","Date.of.Session","Name.of.Session","X..of.Hours","Possible.Hours","staff_id"
"Discovery",2015-10-01,"Google Site Training",2,2,"3b6ea5e46c302dffbd18374034e33631df6619bc53bcbacc9c6df3d17b138ff1"
"Discovery",2016-03-01,"Google Sheets Training",2,2,"3b6ea5e46c302dffbd18374034e33631df6619bc53bcbacc9c6df3d17b138ff1"
"DIscovery",2016-03-31,"Google Docs/Website Training",2,2,"3b6ea5e46c302dffbd18374034e33631df6619bc53bcbacc9c6df3d17b138ff1"
"FHS",2016-03-15,"Google Classroom",2,2,"cd361b57c9799835b9b10c5e2100c6710ac4887bbddc7f0641a2d567c2537a45"
"CJH",2016-02-23,"Counselor Training",1,1,"346466568e30ce2aed34968c41818a1481933ec25b1eff8ea0bd71a25d7521a1"
"CJH",2016-03-17,"Counselor Training",1,1,"346466568e30ce2aed34968c41818a1481933ec25b1eff8ea0bd71a25d7521a1"
"FHS",2015-10-05,"Open Lab Training",1.5,3,"c09a26d9f1f286ddbdb33bd1de4edc762a5ab46e12accaa4943f65a735d846bc"
"FHS",2016-02-23,"Counselor Training",1,1,"c09a26d9f1f286ddbdb33bd1de4edc762a5ab46e12accaa4943f65a735d846bc"
"FHS",2015-08-17,"Google Email Training",2,4,"73dcb7c12d3647ee43c0bb2bee6b8f581b447f4d32f7869a0399c8f2dc478751"
"FHS",2015-09-01,"Tech/day open lab",2.5,10,"73dcb7c12d3647ee43c0bb2bee6b8f581b447f4d32f7869a0399c8f2dc478751"
"Discovery",2015-08-17,"Google Email Training",2,4,"e2923a34d670bd56241a5b9e537d7a9d27ccaddbab5bb6b5dbf36eed5250b024"
"Discovery",2015-08-24,"Skyward Training",2,4,"e2923a34d670bd56241a5b9e537d7a9d27ccaddbab5bb6b5dbf36eed5250b024"
"Discovery",2015-11-17,"ChromeBook Training",1,1,"e2923a34d670bd56241a5b9e537d7a9d27ccaddbab5bb6b5dbf36eed5250b024"
"Discovery",2016-02-18,"Google Sheets Training",2,2,"e2923a34d670bd56241a5b9e537d7a9d27ccaddbab5bb6b5dbf36eed5250b024"
"Discovery",2015-08-17,"Google Email Training",2,4,"e221b64b4cf235c8ec55d53771ffdafe4919fc04db948f81ad7278461c9a5237"
"Discovery",2015-08-24,"Skyward Training",2,4,"e221b64b4cf235c8ec55d53771ffdafe4919fc04db948f81ad7278461c9a5237"
"Discovery",2015-09-01,"Tech/day open lab",1,10,"e221b64b4cf235c8ec55d53771ffdafe4919fc04db948f81ad7278461c9a5237"
"Discovery",2015-10-01,"Google Site Training",1.5,2,"e221b64b4cf235c8ec55d53771ffdafe4919fc04db948f81ad7278461c9a5237"
"Discovery",2016-03-01,"Google Sheets Training",0.5,2,"e221b64b4cf235c8ec55d53771ffdafe4919fc04db948f81ad7278461c9a5237"
"SLMS",2015-08-17,"Google Email Training",2,4,"0e9801a778f1d2ba3880dc670ec4b833dcc52454dd9a898efc494df24c640898"
